"admin_added","agree","auto_eligibility","auto_eligibility_last_run","choice_rank","created_at","eligibility_override","id","last_saved","lottery_entries","lottery_group","lottery_number","lottery_subgroup","lottery_sublottery","lottery_weight","payment_amount","payment_trans_id","priority_super_priority_99","priority_neighborhood_and_sibling_attending","priority_neighborhood_and_sibling_attending_override","priority_neighborhood","priority_neighborhood_override","priority_sibling_attending","priority_sibling_attending_override","priority_sibling_applying","priority_sibling_applying_override","priority_preferred_town_zip_code","priority_rank_1","priority_rank_1_override","priority_rank_2","priority_rank_2_override","priority_rank_3","priority_rank_3_override","priority_rank_4","priority_rank_4_override","priority_rank_5","priority_rank_5_override","priority_rank_6","priority_rank_6_override","program_id","siblings_applying","siblings_current","sis_error","sis_export_timestamp","sis_export_status","status","status_timestamp","student_id","sub_rank","submitted","submitted_timestamp","updated_at","withdrawn","withdrawn_reason","id","grade","lottery_timestamp_placed"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3588295,5,
0,0,0,,0,"2025-02-27 11:47:18",0,418629,,1,0,,0,38,1,0.00,,,0,,0,,,,0,,0,0,,0,,0,,0,,0,,0,,13293,0,0,,,,-1,,3614307,,0,,"2025-02-27 11:47:18",0,,3614307,11,
0,0,0,,1,"2025-02-03 12:03:05",0,355455,,1,942,,0,4,1,0.00,,,0,,0,,1,,0,,0,1,,0,,0,,0,,0,,0,,13292,0,0,,,,-1,,3615771,,1,"2025-02-03 12:06:57","2025-02-19 14:23:23",0,,3615771,K,
0,0,0,,1,"2025-02-04 08:50:18",0,360776,,1,952,,0,4,1,0.00,,,0,,0,,1,,1,,0,1,,0,,0,,0,,0,,0,,13276,0,0,,,,-1,,3615838,,1,"2025-02-04 08:54:34","2025-02-14 11:39:47",0,,3615838,8,
0,0,0,,1,"2025-02-21 18:12:32",0,407520,,1,952,,0,4,1,0.00,,,0,,0,,1,,1,,0,1,,0,,0,,0,,0,,0,,13276,0,0,,,,-1,,3615844,,1,"2025-02-21 18:16:54","2025-02-24 10:43:23",0,,3615844,6,
0,0,0,,2,"2025-02-20 11:10:11",0,403804,,1,952,,0,10,1,0.00,,,0,,0,,,,1,,0,0,,1,,0,,0,,0,,0,,13276,0,0,,,,-1,,3616023,,1,"2025-02-20 11:11:33","2025-02-20 11:15:19",0,,3616023,9,
0,0,0,,3,"2025-02-20 11:10:11",0,403805,,1,951,,0,34,1,0.00,,,0,,0,,,,0,,0,0,,0,,1,,0,,0,,0,,13291,0,0,,,,-1,,3616023,,1,"2025-02-20 11:11:33","2025-02-20 11:11:34",0,,3616023,9,
0,0,0,,1,"2025-02-20 11:10:11",0,403806,,1,951,,0,32,1,0.00,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,13293,0,0,,,,-1,,3616023,,1,"2025-02-20 11:11:33","2025-02-20 11:11:34",0,,3616023,9,
0,0,0,,3,"2025-02-26 20:34:41",0,417599,,1,951,,0,34,1,0.00,,,0,,0,,,,0,,0,0,,0,,1,,0,,0,,0,,13293,0,0,,,,-1,,3616032,,1,"2025-02-26 20:37:55","2025-02-26 20:37:56",0,,3616032,9,
0,0,0,,2,"2025-02-26 20:34:41",0,417598,,1,951,,0,33,1,0.00,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,13283,0,0,,,,-1,,3616032,,1,"2025-02-26 20:37:55","2025-02-26 20:37:56",0,,3616032,9,
0,0,0,,1,"2025-02-26 20:34:41",0,417597,,1,952,,0,32,1,0.00,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,13276,0,0,,,,-1,,3616032,,1,"2025-02-26 20:37:55","2025-02-26 20:37:55",0,,3616032,9,
0,0,0,,3,"2025-02-03 08:31:38",0,353282,,1,950,,0,34,1,0.00,,,0,,0,,,,0,,0,0,,0,,1,,0,,0,,0,,13271,0,0,,,,-1,,3616157,,1,"2025-02-03 08:35:11","2025-02-03 08:35:12",0,,3616157,K,
0,0,0,,2,"2025-02-03 08:31:38",0,353283,,1,950,,0,33,1,0.00,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,13290,0,0,,,,-1,,3616157,,1,"2025-02-03 08:35:11","2025-02-03 08:35:11",0,,3616157,K,
0,0,0,,1,"2025-02-03 08:31:38",0,353284,,1,942,,0,32,1,0.00,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,13299,0,0,,,,-1,,3616157,,1,"2025-02-03 08:35:11","2025-02-03 08:35:11",0,,3616157,K,
0,0,0,,1,"2025-02-03 08:52:03",0,353435,,1,949,,0,5,1,0.00,,,0,,0,,,,1,,0,1,,0,,0,,0,,0,,0,,13276,0,0,,,,-1,,3616173,,1,"2025-02-03 08:54:35","2025-02-03 09:21:40",0,,3616173,9,
0,0,0,,3,"2025-02-18 10:56:32",0,398947,,1,951,,0,34,1,0.00,,,0,,0,,,,0,,0,0,,0,,1,,0,,0,,0,,13283,0,0,,,,-1,,3616173,,1,"2025-02-18 10:56:31","2025-02-18 10:56:32",0,,3616173,9,
0,0,0,,2,"2025-02-18 10:56:32",0,398948,,1,951,,0,33,1,0.00,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,13293,0,0,,,,-1,,3616173,,1,"2025-02-18 10:56:31","2025-02-18 10:56:32",0,,3616173,9,
0,0,0,,1,"2025-02-19 16:44:18",0,402472,,1,949,,0,4,1,0.00,,,0,,0,,1,,0,,0,1,,0,,0,,0,,0,,0,,13276,0,0,,,,-1,,3616181,,1,"2025-02-19 16:45:37","2025-02-24 10:32:48",0,,3616181,9,
0,0,0,,1,"2025-02-06 15:53:25",0,370775,,1,952,,0,32,1,0.00,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,13276,0,0,,,,-1,,3616219,,1,"2025-02-06 15:56:01","2025-02-06 15:56:01",0,,3616219,6,
0,0,0,,1,"2025-02-08 21:53:15",0,377770,,1,942,,0,32,1,0.00,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,13299,0,0,,,,-1,,3616222,,1,"2025-02-08 21:55:04","2025-02-08 21:55:05",0,,3616222,K,
0,0,0,,2,"2025-02-08 21:53:14",0,377769,,1,950,,0,33,1,0.00,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,13290,0,0,,,,-1,,3616222,,1,"2025-02-08 21:55:04","2025-02-08 21:55:05",0,,3616222,K,
0,0,0,,1,"2025-02-03 09:46:21",0,353864,,1,942,,0,5,1,0.00,,,0,,0,,,,1,,0,1,,0,,0,,0,,0,,0,,13279,0,0,,,,-1,,3616226,,1,"2025-02-03 09:49:02","2025-02-03 09:53:43",0,,3616226,K,
0,0,0,,1,"2025-02-03 16:34:16",0,357907,,1,942,,0,32,1,0.00,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,13299,0,0,,,,-1,,3616232,,1,"2025-02-03 16:37:54","2025-02-03 16:37:54",0,,3616232,2,
0,0,0,,1,"2025-02-03 07:37:24",0,352991,,1,942,,0,32,1,0.00,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,13235,0,0,,,,-1,,3616234,,1,"2025-02-03 07:38:56","2025-02-03 07:38:56",0,,3616234,11,
0,0,0,,2,"2025-02-12 18:10:51",0,389519,,1,951,,0,33,1,0.00,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,20947,0,0,,,,-1,,3616238,,1,"2025-02-12 18:13:41","2025-02-12 18:13:42",0,,3616238,11,
0,0,0,,4,"2025-02-12 18:10:51",0,389518,,1,951,,0,35,1,0.00,,,0,,0,,,,0,,0,0,,0,,0,,1,,0,,0,,13293,0,0,,,,-1,,3616238,,1,"2025-02-12 18:13:41","2025-02-12 18:13:43",0,,3616238,11,
