id,student_id,grade,program_id,admin_added,agree,auto_eligibility,auto_eligibility_last_run,choice_rank,created_at,eligibility_override,last_saved,lottery_entries,lottery_group,lottery_number,lottery_subgroup,lottery_sublottery,lottery_weight,payment_amount,payment_trans_id,priority_super_priority_99,priority_neighborhood_and_sibling_attending,priority_neighborhood_and_sibling_attending_override,priority_neighborhood,priority_neighborhood_override,priority_sibling_attending,priority_sibling_attending_override,priority_sibling_applying,priority_sibling_applying_override,priority_preferred_town_zip_code,priority_rank_1,priority_rank_1_override,priority_rank_2,priority_rank_2_override,priority_rank_3,priority_rank_3_override,priority_rank_4,priority_rank_4_override,priority_rank_5,priority_rank_5_override,priority_rank_6,priority_rank_6_override,siblings_applying,siblings_current,sis_error,sis_export_timestamp,sis_export_status,status,status_timestamp,sub_rank,submitted,submitted_timestamp,updated_at,withdrawn,withdrawn_reason,lottery_timestamp_placed,prob,unmatched,assigned
341157,3656034,6,13275,0,0,0,,2,2025-01-29T22:23:22Z,0,,1,942,,0,8,1,0,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,0,0,,,,1,2025-03-14T10:51:05Z,,1,2025-01-29T22:24:27Z,2025-03-19T11:15:54Z,0,"",,0,0.81,0
341158,3656034,6,13276,0,0,0,,1,2025-01-29T22:23:22Z,0,,1,950,,0,8,1,0,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,0,0,,,,1,2025-03-14T10:51:06Z,,1,2025-01-29T22:24:27Z,2025-03-19T11:16:06Z,0,"",,0.19,0.81,0
341576,10065512,9,13198,0,0,0,,1,2025-01-30T07:51:10Z,0,,1,951,,0,8,1,0,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,0,0,,,,1,2025-03-14T10:51:06Z,,1,2025-01-30T08:02:46Z,2025-03-19T11:10:28Z,0,"",,0.281,0,0
341577,10065512,9,13280,0,0,0,,2,2025-01-30T07:51:10Z,0,,1,951,,0,8,1,0,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,0,0,,,,1,2025-03-14T10:51:06Z,,1,2025-01-30T08:02:46Z,2025-03-19T11:18:22Z,0,"",,0.719,0,0
341578,10065512,9,13291,0,0,0,,3,2025-01-30T07:51:11Z,0,,1,951,,0,8,1,0,,,0,,0,,,,0,,0,0,,0,,1,,0,,0,,0,,0,0,,,,1,2025-03-14T10:51:06Z,,1,2025-01-30T08:02:46Z,2025-03-19T11:28:15Z,0,"",,0,0,0
341599,10065513,7,13239,0,0,0,,6,2025-01-30T08:08:50Z,0,,1,951,,0,8,1,0,,,0,,0,,,,0,,0,0,,0,,0,,0,,0,,1,,0,0,,,,1,2025-03-14T10:51:07Z,,1,2025-01-30T08:10:16Z,2025-03-19T11:00:52Z,0,"",,0,0,0
341600,10065513,7,13240,0,0,0,,3,2025-01-30T08:08:50Z,0,,1,951,,0,8,1,0,,,0,,0,,,,0,,0,0,,0,,1,,0,,0,,0,,0,0,,,,1,2025-03-14T10:51:07Z,,1,2025-01-30T08:10:16Z,2025-03-19T11:01:03Z,0,"",,0,0,0
341601,10065513,7,13271,0,0,0,,1,2025-01-30T08:08:50Z,0,,1,951,,0,8,1,0,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,0,0,,,,1,2025-03-14T10:51:07Z,,1,2025-01-30T08:10:16Z,2025-03-19T11:13:19Z,0,"",,1,0,0
341603,10065513,7,13290,0,0,0,,2,2025-01-30T08:08:50Z,0,,1,951,,0,8,1,0,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,0,0,,,,1,2025-03-14T10:51:08Z,,1,2025-01-30T08:10:16Z,2025-03-19T11:25:01Z,0,"",,0,0,0
341604,10065513,7,13295,0,0,0,,4,2025-01-30T08:08:50Z,0,,1,951,,0,8,1,0,,,0,,0,,,,0,,0,0,,0,,0,,1,,0,,0,,0,0,,,,1,2025-03-14T10:51:08Z,,1,2025-01-30T08:10:16Z,2025-03-19T11:25:49Z,0,"",,0,0,0
341634,3616916,K,13221,0,0,0,,2,2025-01-30T08:29:15Z,0,,1,942,,0,8,1,0,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,0,0,,,,1,2025-03-14T10:51:08Z,,1,2025-01-30T08:31:19Z,2025-03-19T10:59:08Z,0,"",,0,0,0
