student_id,any_assigned,final_rank,unmatched
3614307,0,,.87199998
3615771,1,1,0
3615838,0,,1
3615844,1,1,0
3616023,1,1,0
3616032,1,2,0
3616157,0,,.76200002
3616173,1,2,.0089999996
3616181,1,1,.73799998
3616219,0,,.66399997
3616222,0,,.759
3616226,1,1,0
3616232,0,,.89099997
3616234,0,,1
3616238,1,1,0
3616358,0,,.74900001
3616374,0,,1
3616378,1,1,0
3616389,1,1,0
3616409,0,,1
3616414,1,2,0
3616415,1,1,0
3616419,0,,1
3616422,0,,1
3616441,0,,1
3616444,0,,1
3616445,1,1,0
3616472,1,1,0
3616476,1,2,0
3616489,1,4,1
3616491,1,1,0
3616518,0,,1
3616529,0,,1
3616567,0,,1
3616568,1,2,0
3616593,0,,1
3616609,0,,0
3616622,1,3,0
3616624,1,1,0
3616628,1,1,0
3616641,0,,1
3616661,0,,1
3616690,0,,1
3616699,0,,.87199998
3616711,1,1,.76999998
3616746,1,3,0
3616749,0,,.88
3616776,1,1,0
3616789,0,,1
3616799,1,2,0
3616802,1,1,0
3616817,1,4,0
3616827,0,,1
3616833,1,1,0
3616852,0,,.89200002
3616854,0,,1
3616865,1,1,0
3616867,1,1,0
3616869,0,,.86799997
3616886,0,,0
3616888,1,2,0
3616903,1,1,0
3616905,0,,1
3616906,1,2,0
3616907,1,2,0
3616911,1,3,0
3616914,1,1,0
3616916,0,,0
3616926,0,,.80000001
3616954,1,1,0
3616958,1,1,0
3616965,1,1,0
3617001,1,1,0
3617007,1,5,0
3617012,0,,0
3617013,0,,.88499999
3617031,0,,1
3617033,1,3,0
3617048,0,,.88099998
3617055,0,,1
3617085,1,1,0
3617088,1,4,0
3617092,1,5,0
3617101,1,1,.63800001
3617108,0,,1
3617113,1,3,.96799999
3617137,1,2,0
3617152,0,,1
3617158,0,,1
3617163,1,1,0
3617176,0,,1
3617196,0,,1
3617198,1,2,0
3617209,1,1,0
3617214,1,5,.79000002
3617218,1,1,0
3617225,1,1,0
3617235,1,2,0
3617245,1,1,0
3617248,1,1,0
3617251,1,1,0
3617263,0,,1
3617267,1,1,0
3617275,0,,0
3617283,1,1,0
3617286,0,,1
3617300,1,1,0
3617304,1,1,0
3617330,1,1,0
3617334,1,1,0
3617335,1,2,0
3617348,1,1,0
3617356,1,1,0
3617369,1,1,0
3617373,0,,1
3617375,1,4,1
3617382,0,,1
3617392,1,3,.56599998
3617396,1,1,0
3617407,0,,1
3617439,1,1,0
3617454,1,1,0
3617465,1,1,0
3617466,1,4,0
3617469,1,1,0
3617477,1,3,.88300002
3617492,0,,1
3617504,1,1,0
3617505,1,1,.43599999
3617507,1,1,0
3617509,1,1,0
3617517,1,1,0
3617531,0,,1
3617564,1,2,0
3617573,0,,.88200003
3617587,0,,.69700003
3617602,1,3,0
3617773,1,1,0
3617774,1,1,0
3617788,1,1,0
3617813,1,3,1
3617831,1,1,0
3617835,1,1,0
3617836,1,1,0
3617861,1,1,0
3617876,1,1,0
3617878,1,5,.53899997
3617928,1,2,0
3617937,0,,1
3617939,1,1,0
3618006,0,,0
3618020,1,1,0
3618023,1,1,0
3618027,0,,.69999999
3618048,0,,1
3618075,1,2,0
3618084,0,,.92199999
3618093,1,2,0
3618118,0,,.52899998
3618145,1,3,.33199999
3618162,1,1,0
3618201,1,1,0
3618206,0,,1
3618213,0,,1
3618230,1,1,0
3618233,1,1,0
3618237,1,1,.28
3618261,1,1,0
3618277,0,,0
3618308,0,,.39700001
3618326,0,,.88800001
3618331,0,,.50400001
3618337,0,,1
3618347,0,,1
3618354,1,1,0
3618359,1,2,.88300002
3618380,0,,1
3618388,0,,1
3618406,1,2,0
3618430,0,,1
3618431,1,2,.53899997
